trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	2420.9051189422607	False	False	True	False	0.0	lower_right	2.630932092666626	-1.6157129377797728	-0.5282574184558027	-0.44306923851001323	-1.0874555193239699	0.9524652099900341	n/a
2	2433.5764911174774	False	False	True	False	0.0	lower_right	2.6674959659576416	-3.048648227864007	-2.4931990851860357	-0.22631034033498765	-0.5554491426779711	-0.9110364905407501	n/a
3	2449.5904219150543	False	False	True	False	0.0	lower_right	3.3821470737457275	-5.6018063004968255	-5.230606983034991	-0.15124020799075497	-0.37119931746183443	0.8804809390398469	n/a
4	2464.569309949875	False	False	True	False	0.0	lower_right	3.344304084777832	-1.0267159384766114	-0.9077032261817459	-0.04849014131840364	-0.11901271229486543	0.8982749525407691	n/a
5	2479.3988149166107	False	False	True	False	0.0	lower_right	2.875758171081543	-2.118465689535625	-1.381938840011882	-0.3000880353833071	-0.7365268495237434	-0.9569879403020377	n/a
6	2498.7261929512024	False	False	False	False	0.0	lower_right	2.8840949535369873	-5.296806439820344	-4.837235861820392	-0.1872458987220271	-0.45957057799995216	-0.8044295912177664	n/a
7	2512.6432609558105	False	False	False	False	0.0	lower_right	3.233181953430176	-0.6576663832924128	-5.795644084032177	-0.466599555664219	-1.145207606439822	-1.0023654966000517	n/a
8	2529.4908530712128	False	False	False	False	0.0	lower_right	3.748157024383545	-1.682702799869011	-1.4235212948334253	-0.10560004527209069	-0.2591815050355857	-0.8023332001812921	n/a
9	2543.4357719421387	False	False	False	False	0.0	lower_right	4.292340993881226	-1.1932857277833104	-0.6886522736916947	-0.20560616619063737	-0.504633454091616	1.0261869219727324	n/a
10	2557.38098692894	False	False	False	False	0.0	lower_right	3.5054738521575928	-4.724176102820422	-4.328892291010792	-0.16105311378869547	-0.39528381180963024	0.8432062018722281	n/a
11	2569.358200073242	False	False	False	False	0.0	lower_right	3.9759509563446045	-4.615125717392216	-4.5072094544826315	-0.04396904110608613	-0.10791626290958423	-0.8615595950341026	n/a
12	2583.169235944748	False	False	False	False	0.0	lower_right	3.3646788597106934	-1.4244449428263133	-1.0990867380260576	-0.13256285841783266	-0.32535820480025546	-0.7975157319320378	n/a
13	2596.547352075577	False	False	False	False	0.0	lower_right	3.185533046722412	-1.784547478432613	-1.4261441529800285	-0.14602665181786142	-0.35840332545258446	-0.9117327669167471	n/a
14	2610.4426879882812	False	False	False	False	0.0	lower_right	3.001528024673462	-3.3215675752277605	-3.018912258460975	-0.12331286967418185	-0.30265531676678536	0.8610243235571771	n/a
15	2622.535877943039	False	False	False	False	0.0	lower_right	3.500839948654175	-2.964538901428974	-2.5719239193127468	-0.15996573474747808	-0.39261498211622703	-0.8468414944954117	n/a
16	2637.051954984665	False	False	False	False	0.0	lower_right	3.2530229091644287	-2.541514285104813	-2.2295334630302186	-0.12711242235659465	-0.3119808220745943	-0.8967960387793307	n/a
17	2650.693335056305	False	False	False	False	0.0	lower_right	3.0750818252563477	-3.6350494511362546	-3.404480169741835	-0.09394237659921412	-0.23056928139441935	-0.8677609627316994	n/a
18	2664.304826974869	False	False	False	False	0.0	lower_right	2.931105136871338	-6.247330378289372	-5.976297057752376	-0.11042890932754701	-0.27103332053699614	0.9030334051458552	n/a
19	2676.281312942505	False	False	False	False	0.0	lower_right	3.2740159034729004	-5.173723965981868	-4.934177682876368	-0.097599936142159	-0.23954628310549975	-1.0305898092637613	n/a
20	2690.431252002716	False	False	False	False	0.0	lower_right	3.1197891235351562	-1.5389284480548957	-1.2818488644413268	-0.10474364544027069	-0.2570795836135691	0.8031767441008553	n/a
21	2702.3366980552673	False	False	False	False	0.0	lower_right	3.2077269554138184	-4.812409014971539	-4.517651299896532	-0.12009509726376916	-0.2947577150750069	0.9022141070777036	n/a
22	2714.6809270381927	False	False	False	False	0.0	lower_right	3.409450054168701	-1.255615232484292	-1.0666188790392896	-0.0770040419254147	-0.18899635344500254	-0.9522853527419182	n/a
23	2728.5424149036407	False	False	False	False	0.0	lower_right	3.070909023284912	-6.015710481574466	-5.753351301640503	-0.10689474650118705	-0.26235917993396285	-0.8114273715859642	n/a
24	2742.536917924881	False	False	False	False	0.0	lower_right	3.824863910675049	-1.6897779481480608	-1.6777715237258082	-0.0048918573968914575	-0.012006424422252415	-0.8286150473390947	n/a
25	2755.9490809440613	False	False	False	False	0.0	lower_right	4.250107049942017	-4.242928345247254	-4.128273650316619	-0.04671452530407366	-0.11465469493063463	-0.8241415472553408	n/a
26	2770.0273730754852	False	False	False	False	0.0	lower_right	3.342885971069336	-4.069814607331508	-4.028601883929883	-0.016791574137977834	-0.04121272340162463	-0.9712145966028584	n/a
27	2783.722063064575	False	False	False	False	0.0	lower_right	2.9615848064422607	-1.9062917928810514	-1.5285959528776978	-0.15388712939975516	-0.37769584000335366	1.0219677709153208	n/a
28	2795.932475090027	False	False	False	False	0.0	lower_right	3.3774850368499756	-1.378497252812049	-1.058963079385414	-0.13018993456033762	-0.3195341734266348	1.0067575663994	n/a
29	2808.709904909134	False	False	False	False	0.0	lower_right	3.3396599292755127	-6.170987414083109	-5.760571563167924	-0.16721846117483025	-0.41041585091518495	-0.7860891636355923	n/a
30	2822.988709926605	False	False	False	False	0.0	lower_right	4.760042190551758	-1.2676598487389175	-0.4521243983331579	-0.3322790353888048	-0.8155354504057595	1.0425646070128338	n/a
31	2836.333456993103	False	False	False	False	0.0	lower_right	3.155198097229004	-3.6316757864240357	-3.3306596394424655	-0.12264501182103914	-0.3010161469815702	0.933016231590475	n/a
32	2848.9441809654236	False	False	False	False	0.0	lower_right	3.047119140625	-0.03850997699928449	-5.890654900882175	-0.17562165164517005	-0.4310403832966969	0.7930598492376933	n/a
33	2860.15376496315	False	False	False	False	0.0	lower_right	3.429425001144409	-5.239357968690436	-5.107660173602891	-0.05365850901116501	-0.1316977950875451	-0.9911761416446999	n/a
34	2874.816038131714	False	False	False	False	0.0	lower_right	4.226165056228638	-3.6244300335056217	-3.3487001577774884	-0.11234245806143082	-0.27572987572813323	-0.9453188314288362	n/a
35	2889.6286721229553	False	False	False	False	0.0	lower_right	3.9562039375305176	-2.8820027596709625	-2.551552072055391	-0.13463772257826295	-0.3304506876155715	0.9869944648306437	n/a
36	2903.156538963318	False	False	False	False	0.0	lower_right	4.520038843154907	-0.953779867389482	-0.3280983889544977	-0.2549255682405705	-0.6256814784349842	-0.7855808464198007	n/a
37	2919.5371520519257	False	False	False	False	0.0	lower_right	3.333996057510376	-6.142198642960014	-5.965018331482975	-0.07218975331873892	-0.17718031147703872	0.8275881655405252	n/a
38	2931.5808370113373	False	False	False	False	0.0	lower_right	3.1935369968414307	-5.489056126960442	-5.389034364656017	-0.040752532192030254	-0.10002176230442483	-1.0167162512762868	n/a
39	2944.508367061615	False	False	False	False	0.0	lower_right	2.850877046585083	-1.3813934466790567	-0.9910085539771172	-0.15905711457769692	-0.39038489270193955	-0.9349745080312613	n/a
40	2958.6370720863342	False	False	False	False	0.0	lower_right	3.346252918243408	-3.4391402870807664	-3.213637376720301	-0.09187815133562019	-0.22550291036046533	-0.9648661810388024	n/a
41	2972.398574113846	False	False	False	False	0.0	lower_right	3.5983119010925293	-1.3541640040620493	-0.992351922867982	-0.14741550385254903	-0.36181208119406705	-0.9696832426906762	n/a
42	2986.8949830532074	False	False	False	False	0.0	lower_right	3.2201759815216064	-1.672536303423371	-1.4360322136028854	-0.09636043508833242	-0.23650408982048532	0.9666789448540484	n/a
43	3000.0720880031586	False	False	False	False	0.0	lower_right	3.1494429111480713	-6.142802282604026	-5.895026836893767	-0.10095279862165821	-0.24777544571025878	-0.9548654919920667	n/a
44	3013.3668069839478	False	False	False	False	0.0	lower_right	3.444607973098755	-3.9932933539049067	-3.5772851246968362	-0.16949700107614876	-0.41600822920807046	-0.9891181724951523	n/a
45	3028.6795439720154	False	False	False	False	0.0	lower_right	3.7126479148864746	-3.2438681818569304	-3.0431289190859694	-0.08178853361311057	-0.200739262770961	-0.8975909813551841	n/a
1	3051.6653220653534	False	True	True	False	0.13514070766674366	lower_right	3.516576051712036	-5.06396982783128	-4.411020883622	-0.2660353332673052	-0.65294894420928	0.9229295628771421	n/a
2	3065.1774480342865	False	True	True	False	0.13514070766674366	lower_right	2.751518964767456	-0.3798112304325745	-0.5529499167084748	0.07054304706879089	0.17313868627590034	-0.8480902329455803	n/a
3	3078.989321947098	False	True	True	False	0.13514070766674366	lower_right	6.572346925735474	-2.3563010661310546	-1.9392727172763697	-0.1699126352119666	-0.41702834885468487	-1.0249135917578631	n/a
4	3098.9725890159607	False	True	True	False	0.13514070766674366	lower_right	3.080075979232788	-3.0707681784244483	-2.9115344326366284	-0.0648776646378747	-0.1592337457878199	0.9078163702760371	n/a
5	3115.1532249450684	False	True	True	False	0.13514070766674366	lower_right	4.252049922943115	-0.33305142842265845	-0.408034104160218	0.030550690534116697	0.07498267573755957	-0.8051575307711223	n/a
6	3134.013556957245	False	True	False	False	0.13514070766674366	lower_right	3.75649094581604	-2.405137776028303	-1.9588717677650085	-0.18182512934141937	-0.44626600826329454	1.0046350150536658	n/a
