trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	841.4624869823456	True	False	True	False	0.0	lower_right	3.6632959842681885	-5.15777730674354	-5.304388505860241	0.059734776453255874	0.14661119911670095	0.9394471987062897	False
2	865.3479080200195	True	False	True	False	0.0	lower_right	3.931159019470215	-1.948576534781747	-1.9872155460372827	0.015742949472004927	0.03863901125553593	-0.8915323293199794	False
3	884.030394077301	True	False	True	True	0.0	lower_right	3.2955288887023926	-4.521284696700535	-4.88017189637955	0.14622379991378762	0.35888719967901483	-1.0399746695002128	True
4	900.8283450603485	True	False	True	False	0.0	lower_right	2.5840539932250977	-1.9084681561224632	-2.164839350548299	0.10445502171966763	0.256371194425836	0.848094972851828	False
5	917.1584711074829	True	False	True	False	0.0	lower_right	3.2915639877319336	-0.8626996925116721	-0.9834374804369351	0.049193000361693565	0.12073778792526291	0.7935147616545769	False
6	937.1514210700989	True	False	False	False	0.0	lower_right	5.288877964019775	-0.4267385945591456	-0.35047121523064084	-0.03107412586699817	-0.07626737932850469	-0.9975191721914405	False
7	954.8737900257111	True	False	False	True	0.0	lower_right	3.5892910957336426	-4.673912467840382	-4.845272547805565	0.06981837766420818	0.17136007996518288	0.9883293956763387	False
8	972.2051711082458	True	False	False	True	0.0	lower_right	3.2962450981140137	-1.8551413806438433	-1.774685376736665	-0.03278072505151563	-0.08045600390717844	0.810630858940741	True
9	987.3179259300232	True	False	False	False	0.0	lower_right	4.0756800174713135	-5.156069574176893	-5.6455207148223785	0.19942033519538044	0.48945114064548534	1.032257800937011	False
10	1005.7669150829315	True	False	False	False	0.0	lower_right	6.588313102722168	-1.9840533385532364	-1.9920159962782895	0.0032442786229531367	0.007962657725053113	0.986056892824839	False
11	1024.4327030181885	True	False	False	False	0.0	lower_right	3.229421854019165	-3.325705308636328	-3.241201641467181	-0.034429891428766964	-0.08450366716914726	-0.8052051898045444	False
12	1039.2786180973053	True	False	False	False	0.0	lower_right	3.2724599838256836	-1.431005313673415	-1.303694001023063	-0.051871295282742445	-0.127311312650352	0.9679327844116805	True
13	1054.2746000289917	True	False	False	False	0.0	lower_right	3.868494987487793	-2.442447027215378	-2.4398195241097147	-0.001070541074574384	-0.002627503105663287	-1.0282075863535212	False
14	1070.2714579105377	True	False	False	False	0.0	lower_right	3.4405570030212402	-1.0275281825018006	-1.0569827209185851	0.012000858586934683	0.02945453841678436	-0.925299318541996	False
15	1084.7337369918823	True	False	False	False	0.0	lower_right	4.5166120529174805	-3.086397204551311	-3.336053674332089	0.1017191967756371	0.24965646978077816	-0.9368798627535667	False
16	1100.8976480960846	True	False	False	False	0.0	lower_right	3.3287649154663086	-2.28738217803544	-1.7028165533496689	-0.2381734623496759	-0.5845656246857711	-0.9494151631999095	False
17	1117.2445549964905	True	False	False	True	0.0	lower_right	2.752474069595337	-3.106624961869121	-2.332765107707155	-0.3152988698886403	-0.7738598541619659	0.9272579329505352	True
18	1131.423201084137	True	False	False	False	0.0	lower_right	4.16577410697937	-3.177045295194471	-3.243487998714775	0.027071192825972756	0.06644270352030368	0.9275768470296243	False
19	1147.303297996521	True	False	False	False	0.0	lower_right	2.9306130409240723	-3.414240869939717	-3.349039281706618	-0.026565516965734642	-0.06520158823309918	-0.9104101928621773	False
20	1161.9662039279938	True	False	False	False	0.0	lower_right	3.1849679946899414	-0.6046162598446694	-0.27761010853853585	-0.13323429222867822	-0.32700615130613375	-0.9001784790023752	False
21	1176.8283219337463	True	False	False	False	0.0	lower_right	3.2689437866210938	-5.307317732504071	-5.6167957871454615	0.1260927031670809	0.30947805464139044	-0.7942159836132336	False
22	1191.3572709560394	True	False	False	False	0.0	lower_right	3.1691298484802246	-3.245896465678028	-3.4530553834340396	0.08440413636207791	0.2071589177560118	0.8175402485516303	False
23	1206.303256034851	True	False	False	False	0.0	lower_right	6.568975925445557	-2.732495492412177	-2.940299393874173	0.08466692636533192	0.2078039014619959	0.859846726906441	False
24	1224.935627937317	True	False	False	False	0.0	lower_right	3.867435932159424	-2.684343378066412	-2.5263831179532446	-0.06435879989527594	-0.15796026011316755	0.8574554993890365	False
25	1238.8974630832672	True	False	False	False	0.0	lower_right	5.207614898681641	-0.9508936058000175	-0.949134279742237	-0.0007168139228317773	-0.0017593260577806191	0.9344196450922482	False
26	1255.4614470005035	True	False	False	False	0.0	lower_right	3.4519388675689697	-4.858551139139508	-5.056181480700385	0.0805218451567441	0.19763034156087667	0.9252435951713727	False
27	1271.374934911728	True	False	False	False	0.0	lower_right	3.797783136367798	-1.04538643526916	-0.972661110182329	-0.029630963137367464	-0.07272532508683094	-0.8599349939476358	False
28	1285.636999130249	True	False	False	False	0.0	lower_right	3.2518858909606934	-3.103457482463023	-3.084775411491011	-0.007611760492516622	-0.01868207097201191	0.9390705437034268	False
29	1301.1669421195984	True	False	False	False	0.0	lower_right	3.5187389850616455	-5.665164674817509	-5.380164794018893	-0.11611939791283388	-0.28499988079861627	0.8924562728013061	False
30	1314.5948231220245	True	False	False	False	0.0	lower_right	3.5657951831817627	-5.335885201299202	-5.100956110643863	-0.09571872269793603	-0.2349290906553394	-1.0352070017139248	False
31	1329.5741651058197	True	False	False	False	0.0	lower_right	3.507859230041504	-5.321413284086757	-5.521561386678572	0.08154767328755477	0.2001481025918146	-1.0284977280500311	False
32	1343.9196739196777	True	False	False	False	0.0	lower_right	3.5287418365478516	-5.740650679104824	-5.800629827822739	0.024437703682304086	0.059979148717914654	-0.8453773121153433	False
33	1358.2317171096802	True	False	False	False	0.0	lower_right	3.3010549545288086	-2.418068754699288	-2.4946931991909276	0.031219607302438442	0.07662444449163974	0.8008125661789619	False
34	1373.044333934784	True	False	False	False	0.0	lower_right	2.7439498901367188	-5.284383030837677	-5.826329835637184	0.22080899296435189	0.5419468047995064	-0.9346458864982147	False
