trial	onset	contrast	stimulus_position	response	correct	logC_5th_perc	logC_mean	logC_95th_perc
91	722.1770069599152	0.20892961308540398	upper_left	left	True	-0.8556085259599095	-0.7523230932328138	-0.64382961442355
92	727.8317639827728	0.18197008586099836	upper_right	left	False	-0.8581241724318699	-0.7548732766598025	-0.6467470693133995
93	733.8368420600891	0.1778279410038923	lower_left	left	True	-0.8560254616235632	-0.7529114911988202	-0.6446251604185576
94	739.6261920928955	0.2290867652767773	lower_right	right	True	-0.8576441296731978	-0.7544969374877946	-0.6464029055343201
95	745.2798070907593	0.18197008586099836	lower_left	left	True	-0.860786443981121	-0.7577941823191539	-0.6504076233891117
96	751.1681299209595	0.18197008586099836	lower_left	right	False	-0.8628304921489476	-0.7595492163527877	-0.6521738724285988
97	756.889643907547	0.1778279410038923	lower_left	left	True	-0.8603146077993999	-0.7575237445568489	-0.6502239642093014
98	762.7946829795837	0.21877616239495523	lower_right	right	True	-0.8622462575754067	-0.7591527182364078	-0.6518517761524492
99	768.6162300109863	0.1778279410038923	upper_right	right	True	-0.8653739201151393	-0.7621440912456885	-0.6551181548685843
100	774.7547950744629	0.19498445997580455	upper_right	right	True	-0.867093555938696	-0.7638241868963832	-0.6569792420310254
