trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	773.0137469768524	True	False	True	False	0.0	lower_left	4.686315059661865	-4.873659089052769	-5.160568791310648	0.11689752917853535	0.28690970225787904	0.8973234659897907	False
2	803.3133189678192	True	False	True	True	0.0	lower_left	3.2170000076293945	-5.039254975219564	-5.460332974642457	0.17156261129062292	0.42107799942289237	-1.0101266219709555	True
3	822.0123529434204	True	False	True	False	0.0	lower_left	4.389919996261597	-5.942891463219215	-5.876916629682441	-0.026880565445229078	-0.06597483353677447	-1.0323554105893267	False
4	843.8310029506683	True	False	True	False	0.0	lower_left	3.2362220287323	-5.591337824894522	-5.550479958459909	-0.016646992402578102	-0.040857866434612866	1.0410133401360115	False
5	862.2130210399628	True	False	True	False	0.0	lower_left	5.538786172866821	-6.2216438841872295	-6.180139877098175	-0.016910253789040847	-0.04150400708905444	0.8698536325472681	False
6	891.5130150318146	True	False	False	False	0.0	lower_left	3.7561700344085693	-5.012827266007871	-5.028543009607341	0.006403169992244091	0.015715743599469256	-0.8011139069968866	False
7	912.472156047821	True	False	False	False	0.0	lower_left	7.107249021530151	-5.285427644748563	-5.143410703563225	-0.057862907372640236	-0.14201694118533847	0.8783277193704169	False
8	931.8218410015106	True	False	False	False	0.0	lower_left	3.9689760208129883	-6.251373767400496	-6.0644907002615875	-0.07614301162324953	-0.18688306713890857	-0.9114471769871997	False
9	948.9362790584564	True	False	False	False	0.0	lower_left	3.9742259979248047	-5.089883523299461	-5.27926421492058	0.07716063538601736	0.18938069162111937	-1.0300021633824175	False
10	966.3176438808441	True	False	False	False	0.0	lower_left	6.233228921890259	-0.18143623075407156	-5.995095172401481	-0.1913022514852303	-0.4695263655321771	-0.9785514982318538	False
11	986.2178180217743	True	False	False	False	0.0	lower_left	3.3626461029052734	-0.006474534823404987	-6.027195881864172	-0.10693743779729264	-0.26246396013882034	0.9619591994146447	False
12	1002.0644819736481	True	False	False	False	0.0	lower_left	4.6806840896606445	-1.6083187649859871	-1.5378193831243299	-0.028724032277007008	-0.07049938186165727	-0.9910153233552241	False
13	1020.8971059322357	True	False	False	False	0.0	lower_left	3.0564680099487305	-0.04642338745249752	-6.095629598730094	-0.09533166001401433	-0.23397909590199006	-0.9195744565880022	False
14	1040.5970768928528	True	False	False	False	0.0	lower_left	5.547076940536499	-1.6743336809342542	-1.5031829871722053	-0.06973306605014337	-0.1711506937620486	-0.8105970104847758	False
15	1060.0468549728394	True	False	False	False	0.0	lower_left	4.183197021484375	-6.164076498139279	-6.082348023292023	-0.03329917635405412	-0.08172847484725576	-0.8693396136418328	False
16	1077.1946730613708	True	False	False	False	0.0	lower_left	3.1824119091033936	-2.5413741507655514	-2.4505916178566673	-0.03698813147865999	-0.09078253290888405	0.8393651573970906	False
17	1093.3082978725433	True	False	False	True	0.0	lower_left	5.279997110366821	-1.7143253748040423	-1.6625582091460729	-0.021091840779066492	-0.05176716565796946	-0.8747572302249758	True
18	1112.2409629821777	True	False	False	False	0.0	lower_left	3.680626153945923	-3.168328511826377	-3.0411174509340886	-0.05183044904184784	-0.1272110608922885	-0.8177211044452974	False
19	1128.604789018631	True	False	False	False	0.0	lower_left	3.736783027648926	-3.2051516653947374	-3.13716656118001	-0.027699623404522217	-0.06798510421472725	-1.0180732936083265	False
20	1148.3881928920746	True	False	False	False	0.0	lower_left	3.9172489643096924	-1.6033893298846564	-1.5933902107542572	-0.00407400764458957	-0.009999119130399414	0.9487953613164084	False
