trial	onset	contrast	stimulus_position	response	correct	logC_5th_perc	logC_mean	logC_95th_perc
1	86.17262697219849	0.44668359215096315	lower_left	left	True	-1.3274433268132002	-0.5	0.3174433268131992
2	98.78447389602661	0.3311311214825911	upper_left	right	False	-1.412315502025657	-0.6304719635633073	0.23580870532349907
3	105.70691204071045	1.0	lower_right	left	False	-0.840111316773155	-0.32985950889225746	0.3633282391176851
4	111.71197986602783	1.0	lower_right	right	True	-0.40559151647714464	-0.003371453361661947	0.544780263965553
5	117.71631789207458	0.9332543007969911	lower_right	right	True	-0.44197471534843713	-0.04902560382476501	0.5109477345918396
6	123.62226605415344	1.0	lower_left	left	True	-0.47832247987861054	-0.0967566337318777	0.47364836787294484
7	129.59376502037048	0.9332543007969911	lower_right	right	True	-0.5166209397404518	-0.1544544749516289	0.42003501759533757
8	135.4820830821991	0.8912509381337456	upper_left	left	True	-0.5721332805943008	-0.21128181999201728	0.35953385701344087
9	141.53732204437256	0.9332543007969911	lower_left	left	True	-0.6557336610231268	-0.2670376010487089	0.2891907931279877
10	147.57565188407898	1.0	lower_left	left	True	-0.7122777119647484	-0.322425806586469	0.19641311017988716
11	153.84762406349182	0.436515832240166	upper_left	left	True	-0.746032312110551	-0.37189262826889297	0.0761872409804607
12	159.96941709518433	0.6309573444801932	lower_left	left	True	-0.8054315289710823	-0.40184652973746715	0.04144195283869001
13	166.2747769355774	1.0	lower_left	left	True	-0.8418319562348736	-0.44916044191712495	-0.03866194300102771
14	172.46335196495056	0.3981071705534972	lower_right	right	True	-0.8535309820017234	-0.48638885800531906	-0.1612687536118409
15	178.76868200302124	0.38904514499428056	upper_left	right	False	-0.8892330715048828	-0.5269460960084387	-0.19664832194019005
16	185.30754399299622	0.5128613839913648	lower_left	left	True	-0.7650534276573769	-0.4476765105617275	-0.13969473102576646
17	191.42939496040344	0.4168693834703354	upper_left	left	True	-0.7931130995579384	-0.4813709599764951	-0.18576140447580158
18	197.26764702796936	0.436515832240166	lower_left	left	True	-0.8168941969944552	-0.5126863117658095	-0.2176703805406281
19	203.20631289482117	0.38904514499428056	upper_right	right	True	-0.836654852644406	-0.5502716560465933	-0.25352887817043007
20	209.14439392089844	0.3801893963205612	lower_left	left	True	-0.8535600806739317	-0.5861947592269537	-0.2834221529298534
21	214.66570901870728	0.46773514128719823	lower_left	right	False	-0.8680979398016027	-0.6228257791350524	-0.3130125750031957
22	221.10449194908142	0.4168693834703354	upper_right	right	True	-0.7708746806817324	-0.49572590854026	-0.220578097492023
23	227.1262550354004	0.5495408738576245	lower_right	right	True	-0.7876549378713916	-0.5231282265072252	-0.24869727480822934
24	232.98120188713074	0.6456542290346555	upper_left	left	True	-0.7998209370297595	-0.560260133202156	-0.2921092525798037
25	238.78609895706177	0.4168693834703354	lower_left	left	True	-0.8071982342426561	-0.5935190230971652	-0.3358907811942089
26	244.69109201431274	0.2754228703338166	upper_right	right	True	-0.8178896719449817	-0.6214984030235086	-0.36076818476765293
