trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	2556.9163789749146	False	False	True	False	0.0	lower_left	4.110087156295776	-1.7243076108769664	-1.5392255595495175	-0.07540921176665955	-0.18508205132744893	-0.7966656529193767	n/a
2	2575.578386068344	False	False	True	False	0.0	lower_left	3.8036961555480957	-2.9827584351377254	-2.7208566234297447	-0.1067083979214028	-0.26190181170798077	-0.8732439713274309	n/a
3	2593.426908969879	False	False	True	False	0.0	lower_left	3.6989049911499023	-4.995329199441764	-4.848434393896719	-0.05985032810756285	-0.14689480554504541	0.9568366615486321	n/a
4	2609.5238649845123	False	False	True	False	0.0	lower_left	3.314605951309204	-3.2670816801384737	-3.23383926513081	-0.013544178352081658	-0.033242415007663784	-0.9178256734814516	n/a
5	2627.3219468593597	False	False	True	False	0.0	lower_left	3.1326589584350586	-1.5951444087436297	-1.7138213104426432	0.048353319772746095	0.11867690169901346	-0.9040750650964773	n/a
6	2653.580906867981	False	False	False	False	0.0	lower_left	2.621500015258789	-4.75125548582827	-4.747808717002308	-0.001404339958647822	-0.0034467688259613993	-0.8617183955415056	n/a
7	2666.0876848697662	False	False	False	False	0.0	lower_left	3.6466801166534424	-5.989215416022176	-5.674806935212184	-0.1281015395095643	-0.31440848080999206	1.0139037200858168	n/a
8	2679.6658630371094	False	False	False	False	0.0	lower_left	3.190171003341675	-3.549166654840339	-3.2843238520946003	-0.10790666547019799	-0.26484280274573857	0.8968428873546432	n/a
9	2693.627835035324	False	False	False	False	0.0	lower_left	3.3066370487213135	-3.4552746525543214	-3.307409358673976	-0.060245740627949414	-0.1478652938803453	-0.9504649502457806	n/a
10	2708.6572830677032	False	False	False	False	0.0	lower_left	3.478971004486084	-1.8509423338799849	-1.7015645020982528	-0.06086200401001534	-0.1493778317817318	-0.8998650271320698	n/a
11	2724.1702358722687	False	False	False	False	0.0	lower_left	3.2083499431610107	-0.827714661544098	-0.716962587767279	-0.04512445439810312	-0.11075207377681906	-1.005985939803924	n/a
12	2741.8685009479523	False	False	False	False	0.0	lower_left	3.4811811447143555	-0.07081696258027215	-0.012178800406960087	-0.023891336611089355	-0.05863816217331186	0.8501722487222722	n/a
13	2755.8136279582977	False	False	False	False	0.0	lower_left	2.9439377784729004	-1.670219696455685	-1.5831148071873726	-0.03548972465798171	-0.08710488926831239	0.9215904378780985	n/a
14	2770.1594059467316	False	False	False	False	0.0	lower_left	3.7345058917999268	-6.203392015743834	-5.838595103769335	-0.14863163331942528	-0.3647969119744987	1.0336125354926122	n/a
15	2783.5036718845367	False	False	False	False	0.0	lower_left	3.047443151473999	-1.4366697766104324	-1.472447641751267	0.014577213671524066	0.03577786514083492	0.9152902233482596	n/a
16	2797.2152218818665	False	False	False	False	0.0	lower_left	3.3522300720214844	-1.710564254920289	-1.5664636853516436	-0.05871185394997114	-0.14410056956864548	0.7883725004806126	n/a
17	2810.826793909073	False	False	False	False	0.0	lower_left	3.2463347911834717	-4.6620669693486105	-4.763826288957273	0.041460476726749906	0.10175931960866258	1.0456583097297796	n/a
18	2825.0885639190674	False	False	False	False	0.0	lower_left	4.124172925949097	-1.6094708414976147	-1.5565911440532398	-0.021545127007938952	-0.05287969744437504	-1.0270427772271358	n/a
19	2841.2354838848114	False	False	False	False	0.0	lower_left	3.941761016845703	-0.22528658334576424	-6.264644975930017	-0.09934402231473323	-0.24382691459533312	0.8942347686588191	n/a
20	2855.0640439987183	False	False	False	False	0.0	lower_left	3.354504108428955	-3.5127403761245057	-3.5150034597198787	0.0009220632085344954	0.002263083595372972	0.948805004893756	n/a
21	2870.8107919692993	False	False	False	False	0.0	lower_left	2.5916788578033447	-4.779077032478897	-4.73965241096382	-0.01606303588774811	-0.039424621515077085	1.0334441720649516	n/a
22	2883.6046500205994	False	False	False	False	0.0	lower_left	3.06691312789917	-3.2625250585395458	-3.210789407891494	-0.021079000408864904	-0.051735650648051745	0.9721241233794666	n/a
23	2898.2336349487305	False	False	False	False	0.0	lower_left	3.56754994392395	-1.6971786548543486	-1.5806580350724604	-0.0474747714826722	-0.11652061978188843	-0.9634018548896235	n/a
24	2913.0796349048615	False	False	False	False	0.0	lower_left	3.218705177307129	-1.7929185625912154	-1.5868221925698824	-0.08397121546801022	-0.2060963700213332	-0.8860979509532645	n/a
25	2928.6094300746918	False	False	False	False	0.0	lower_left	3.4976580142974854	-1.7658456993025382	-1.5753376052531882	-0.07761998045944254	-0.19050809404934999	-0.9446376889860462	n/a
26	2943.738697052002	False	False	False	False	0.0	lower_left	3.1229920387268066	-4.89861791879091	-4.769165876898085	-0.052743506843090426	-0.1294520418928249	0.8534909737748191	n/a
27	2956.5828309059143	False	False	False	False	0.0	lower_left	4.0086829662323	-4.8128218985565105	-4.731396219185692	-0.033175806378192764	-0.08142567937081857	0.9711345363444666	n/a
28	2970.995370864868	False	False	False	False	0.0	lower_left	8.697270154953003	-0.0210801041552795	-6.235306838147204	-0.02809625034593412	-0.06895857318766119	-0.961876516271485	n/a
29	2990.9788999557495	False	False	False	False	0.0	lower_left	2.8265380859375	-1.5255786473099913	-1.516656696776899	-0.003635129675169263	-0.008921950533092193	0.9906696547798992	n/a
