trial	onset	contrast	stimulus_position	response	correct	logC_5th_perc	logC_mean	logC_95th_perc
1	65.61328411102295	0.6456542290346555	upper_left	right	False	-1.3274433268132002	-0.5	0.3174433268131992
2	74.33964490890503	1.0	upper_left	left	True	-0.5645344759796319	-0.11997711151590895	0.47662371047740326
3	80.72869205474854	1.0	lower_right	right	True	-0.5972902150146888	-0.19168036070702954	0.4150850277806999
4	87.01692390441895	1.0	lower_right	right	True	-0.6230657697183657	-0.2640242224029679	0.33533753801841193
5	92.98865294456482	0.6309573444801932	upper_left	right	False	-0.6437239979205138	-0.33045927173143536	0.23420628216411976
6	99.24397492408752	0.588843655355589	lower_left	right	False	-0.5564939662185379	-0.2466930015966604	0.3170201875051559
7	105.26574897766113	0.831763771102671	lower_right	right	True	-0.5236574484821162	-0.20721198823540726	0.35718794122165054
8	111.10397100448608	0.8709635899560807	upper_right	right	True	-0.5409888676121339	-0.25439354468821873	0.2942301577284131
9	116.89229106903076	1.0	upper_left	left	True	-0.5552306159227333	-0.30220215274596196	0.21083565541475502
10	122.64714097976685	0.9549925860214359	lower_left	left	True	-0.5644583328512877	-0.3476390926998914	0.09103151136261156
11	129.10254311561584	0.5011872336272722	lower_left	left	True	-0.5722886235143774	-0.38357000416164844	-0.03579589252990206
12	134.90744996070862	0.42657951880159267	lower_right	right	True	-0.5801238781843822	-0.39656871979425723	-0.07213936527975934
13	140.72949409484863	0.7762471166286917	lower_right	right	True	-0.586278650816358	-0.4051382069610023	-0.09524394671958136
14	146.51731896400452	0.588843655355589	upper_left	left	True	-0.5950447447332652	-0.43009838430627023	-0.1821926732392249
15	152.62244606018066	0.3801893963205612	upper_left	left	True	-0.6041152980493849	-0.44637033213846344	-0.22554172934231453
16	158.67755007743835	0.3801893963205612	lower_right	right	True	-0.6085135150581326	-0.452135652060241	-0.23785012738499162
17	164.58257794380188	0.5128613839913648	lower_right	right	True	-0.6132791196392101	-0.4579963664628526	-0.2498561321562328
18	170.5709719657898	0.42657951880159267	lower_right	right	True	-0.6213372703525116	-0.4702734287449948	-0.2755614999216879
19	176.30913305282593	0.42657951880159267	upper_left	left	True	-0.6277345151435199	-0.47843653926429436	-0.29050086436915645
20	181.9973440170288	0.33884415613920255	lower_left	left	True	-0.6343565024199549	-0.48677100028325865	-0.3045609580170834
21	188.05246591567993	0.33884415613920255	lower_left	left	True	-0.6385153094694531	-0.49161118513568136	-0.3116665373004775
22	193.89068913459778	0.3981071705534972	lower_right	right	True	-0.6433685105238836	-0.4968726276280956	-0.31868340597806655
23	199.69575190544128	0.4168693834703354	upper_right	right	True	-0.6503961184814806	-0.505234387114747	-0.329848820040507
24	205.51724100112915	0.30902954325135906	lower_right	right	True	-0.6593200582305729	-0.5153629754559471	-0.34208915539518736
25	211.2554349899292	0.32359365692962827	lower_left	left	True	-0.6677079416850783	-0.5230891312248376	-0.3475162217382666
26	217.1103000640869	0.30902954325135906	lower_right	right	True	-0.6822840695851238	-0.5345355903888918	-0.3540265577985654
27	222.81521201133728	0.30902954325135906	lower_right	right	True	-0.7253572442472066	-0.5510716732319072	-0.36062622008707507
28	228.52001905441284	0.28840315031266056	upper_right	left	False	-1.06431719089301	-0.5768598755587245	-0.3681326873955548
29	234.2248339653015	0.35481338923357547	upper_left	left	True	-0.6702321718364748	-0.5255633395222604	-0.3580868671669001
30	239.87972903251648	0.33884415613920255	upper_right	right	True	-0.6796648181714267	-0.5335504381510677	-0.36583160505233014
31	245.53445291519165	0.32359365692962827	lower_right	right	True	-0.6930421619184755	-0.5424951585048051	-0.3729660126461504
32	251.43939304351807	0.3019951720402016	lower_right	right	True	-0.718217292187227	-0.5533530240402516	-0.3798077167529729
33	257.34439611434937	0.3019951720402016	lower_left	left	True	-0.8786265601692069	-0.5671563904973111	-0.3858577586409811
34	263.0659339427948	0.30902954325135906	upper_left	right	False	-0.9587800427219038	-0.5869437659353616	-0.3931106367496935
35	269.0876479148865	0.29512092266663853	upper_right	right	True	-0.6979902394698352	-0.5477444461396375	-0.38198045655885543
36	274.70910811424255	0.31622776601683794	lower_right	right	True	-0.7150036019807009	-0.5553237735214003	-0.386962079064204
37	280.5143530368805	0.3801893963205612	lower_left	left	True	-0.7767615497895177	-0.5662962867000374	-0.3934838490140461
38	286.06870698928833	0.2630267991895382	lower_right	right	True	-0.898640772346102	-0.5838081915854584	-0.4044624895884815
39	291.72344613075256	0.2570395782768864	upper_right	right	True	-0.9337454442669639	-0.598540704982736	-0.4100182381566622
40	297.4616470336914	0.2754228703338166	lower_left	left	True	-0.9586815820003234	-0.6173280989726758	-0.4158585223079673
41	303.2498800754547	0.2754228703338166	upper_right	right	True	-0.9801004765641456	-0.6445981438504228	-0.4243930713276415
42	309.07149600982666	0.2754228703338166	lower_right	right	True	-0.9984321759392506	-0.67938257264611	-0.43499942665953134
43	314.87638306617737	0.2290867652767773	upper_right	left	False	-1.0147586972167923	-0.7213317572343201	-0.4483332786447605
44	320.9153079986572	0.2754228703338166	upper_left	right	False	-0.9802874456990522	-0.6646825246522272	-0.43372676122806453
45	326.75311398506165	0.28183829312644537	lower_left	left	True	-0.9281115495215434	-0.6085888718262256	-0.418573757371757
46	332.4579601287842	0.23988329190194904	lower_right	right	True	-0.9477198958515811	-0.6298200992603626	-0.4262041241260381
47	338.17941999435425	0.24547089156850305	lower_right	right	True	-0.9610314686665293	-0.6498211596330177	-0.43259853119144226
48	344.21787095069885	0.21877616239495523	lower_right	right	True	-0.9731435423428132	-0.674910038030423	-0.44071483907462394
