trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	748.3277819156647	True	False	True	False	0.0	lower_right	3.5197970867156982	-5.758209949585336	-0.2556758491070459	0.3180659158455406	0.7806512067012967	-0.9156415160352324	False
2	775.2655420303345	True	False	True	False	0.0	lower_right	3.420945167541504	-0.9410939028092535	-1.0976309080755822	0.06377891370224202	0.15653700526632885	0.8068029295258514	False
3	795.2506520748138	True	False	True	True	0.0	lower_right	3.3140790462493896	-1.344245545664335	-2.424534252195257	0.4401492162835101	1.0802887065309221	-0.8409877036207543	False
4	812.7973239421844	True	False	True	False	0.0	lower_right	3.6807990074157715	-5.818490558743768	-5.382238383029593	-0.17774512691073305	-0.4362521757141753	0.9700774898983574	True
5	830.0952780246735	True	False	True	False	0.0	lower_right	3.507239818572998	-3.9519304633926655	-4.037838975303333	0.035002276670084355	0.0859085119106675	-0.914258137368881	False
6	848.895416021347	True	False	False	False	0.0	lower_right	3.3982110023498535	-4.140523440616384	-4.092095679539941	-0.01973124494896432	-0.04842776107644298	-0.8780966348064473	False
7	866.1590321063995	True	False	False	False	0.0	lower_right	3.6118850708007812	-5.650987412758107	-5.557268910869727	-0.03818435285683906	-0.09371850188837971	0.7870778180126621	False
8	881.8559880256653	True	False	False	False	0.0	lower_right	2.693009853363037	-6.25477117189064	-5.827484250970044	-0.17409235349255345	-0.4272869209205963	0.9120248498924401	False
9	895.0001680850983	True	False	False	True	0.0	lower_right	3.2028000354766846	-5.251887183597148	-5.413613849450515	0.06589337164885654	0.16172666585336692	1.0163705792427589	True
10	910.1963379383087	True	False	False	False	0.0	lower_right	3.0096709728240967	-4.4678894284551465	-4.523389506144693	0.022612765968065465	0.05550007768954668	0.9630631654665143	False
11	924.1915180683136	True	False	False	True	0.0	lower_right	3.4450418949127197	-3.9628474147353634	-4.077919262740834	0.046884488757222176	0.11507184800547066	-1.0293243975852762	True
12	939.6879041194916	True	False	False	False	0.0	lower_right	3.6492719650268555	-5.061851658524473	-5.363060279281897	0.12272343269231645	0.30120862075742405	0.8462090085809905	False
13	958.3203480243683	True	False	False	False	0.0	lower_right	3.506930112838745	-4.939853822479054	-5.717135476681135	0.31669303664872067	0.7772816542020813	-0.9306797329906394	False
14	971.6815409660339	True	False	False	False	0.0	lower_right	3.814239978790283	-2.2712462971519223	-2.3312466596143393	0.02444634693938963	0.06000036246241702	-0.900621834223776	False
15	986.210541009903	True	False	False	False	0.0	lower_right	3.343280076980591	-1.943376765739241	-1.9146219229164203	-0.011715776955090962	-0.028754842822820592	0.8080170830687236	False
16	1001.1898341178894	True	False	False	False	0.0	lower_right	3.4186809062957764	-4.099834301392909	-4.214992790105555	0.04691978935708103	0.11515848871264556	0.8297736766249242	False
17	1015.1516840457916	True	False	False	False	0.0	lower_right	3.932636022567749	-4.527705767532122	-4.196460169907994	-0.13496159805263092	-0.331245597624128	-1.0002497262605556	False
18	1031.4654529094696	True	False	False	False	0.0	lower_right	4.5991010665893555	-4.183569020875797	-3.9912635008893016	-0.0783523176696527	-0.1923055199864958	-0.8937528778364963	False
19	1047.1787071228027	True	False	False	False	0.0	lower_right	3.479315996170044	-5.215526448303399	-4.5453868539456295	-0.27303943424931	-0.6701395943577699	0.8174017499947855	False
20	1059.4890999794006	True	False	False	False	0.0	lower_right	2.7235019207000732	-6.056022552132535	-5.892667729739822	-0.06655674230194922	-0.16335482239271304	1.034655909911723	False
21	1073.4676139354706	True	False	False	False	0.0	lower_right	3.0397090911865234	-4.520793579590844	-4.091558207062807	-0.1748862240965843	-0.4292353725280371	-0.7979492577804271	False
22	1087.5795199871063	True	False	False	False	0.0	lower_right	2.721912145614624	-1.3306755233838259	-1.2778574841503927	-0.021520005192761746	-0.0528180392334332	-1.0271044354380674	False
