trial	onset	contrast	stimulus_position	response	correct	logC_5th_perc	logC_mean	logC_95th_perc
1	65.47508811950684	0.5495408738576245	lower_right	right	True	-1.3274433268132002	-0.5	0.3174433268131992
2	73.95980715751648	1.0	upper_left	left	True	-1.4016714632558873	-0.6290090469627821	0.22361631650364722
3	80.48191213607788	0.37153522909717257	upper_right	right	True	-1.4313584708937652	-0.7172830761255009	0.06929360688932162
4	86.63705611228943	0.1548816618912481	lower_right	right	True	-1.4934384282929987	-0.8234303380091379	-0.05631656287788295
5	94.91076612472534	0.1288249551693134	lower_left	left	True	-1.5886420211903833	-0.9166859203910145	-0.13098795140855546
6	102.18361616134644	0.660693448007596	lower_left	left	True	-1.6739472592395943	-1.0166343339313262	-0.21511106275970354
7	108.47230911254883	0.09772372209558107	upper_left	right	False	-1.6855567392567132	-1.0680352762302285	-0.40337858326212644
8	115.9119200706482	0.2137962089502232	lower_right	right	True	-1.350085065366037	-0.9001227837646406	-0.30128836313351187
9	121.80026316642761	0.1445439770745927	upper_left	right	False	-1.3733127212632414	-0.9771474773968163	-0.4121040722076502
10	128.40662503242493	0.1548816618912481	upper_left	right	False	-1.2218711247119542	-0.84742315003112	-0.28831110824370176
11	134.7612280845642	0.26915348039269155	lower_left	left	True	-1.1439658872975862	-0.7800627239109947	-0.2136409104005927
12	140.63286304473877	1.0	lower_left	left	True	-1.163342614485031	-0.8405770664879265	-0.3266456002607018
13	146.43784022331238	0.16595869074375605	upper_left	left	True	-1.1648099807302832	-0.8614146583968336	-0.43631621323711683
14	152.42622303962708	0.20417379446695297	lower_left	left	True	-1.185299344692225	-0.8946065448992984	-0.4722739952240219
15	158.3148181438446	0.19498445997580455	lower_left	left	True	-1.2017794409830875	-0.9389390252538591	-0.5315007305804936
16	164.21961903572083	0.7079457843841379	upper_left	left	True	-1.2157966158369762	-0.9794421362338778	-0.5937743546058272
17	170.3413450717926	0.10715193052376065	upper_left	right	False	-1.2164197450083036	-0.9898807608259175	-0.6394815735060324
18	177.4306960105896	0.1778279410038923	upper_left	left	True	-1.2026478359109818	-0.9739023053471703	-0.6230940724117123
19	183.96963906288147	0.11220184543019636	lower_left	left	True	-1.2153497052439244	-1.0055957741290227	-0.6693198980020605
20	190.67526006698608	0.12022644346174131	lower_right	left	False	-1.2239441430297713	-1.0190894134807431	-0.687312076160044
21	197.2975561618805	0.1288249551693134	upper_right	left	False	-1.205753416430448	-0.9960456121713839	-0.6594292335192172
