trial	onset	masked	operant	practice	catch	contrast	stimulus_position	event_t	event_angle	resp_angle	overest_t	overest_angle	initial_offset_angle	aware
1	782.2620780467987	True	False	True	False	0.0	upper_right	2.6277639865875244	-6.262920717973845	-2.242183322553819	0.921804207729844	2.26244791175956	-0.8389137406016812	False
2	806.1793661117554	True	False	True	False	0.0	upper_right	2.5595381259918213	-1.2077684899953756	-1.2519863192289409	0.01801596440400691	0.0442178292335651	0.8700347203462738	False
3	829.5997362136841	True	False	True	False	0.0	upper_right	3.4273951053619385	-5.8737677923306135	-5.639279770641138	-0.09553901503416228	-0.2344880216894758	-0.9742888391643832	False
4	850.6670331954956	True	False	True	False	0.0	upper_right	3.992124080657959	-1.3328391168598337	-1.1031757500729609	-0.09357327378242004	-0.22966336678687282	0.8800712208503825	False
5	870.8340871334076	True	False	True	True	0.0	upper_right	4.0476250648498535	-3.0631069590399687	-2.738068490203013	-0.13243258626668153	-0.32503846883695564	0.8956793219304326	True
6	892.4753742218018	True	False	False	False	0.0	upper_right	4.25213098526001	-6.187287078072011	-6.195360352913541	0.0032893480908006514	0.00807327484153042	-1.032772441149133	False
7	910.3842270374298	True	False	False	False	0.0	upper_right	3.592221975326538	-1.6772238842427338	-1.3805196420950725	-0.12088818374178545	-0.2967042421476611	1.0207431740296815	False
8	927.1483991146088	True	False	False	False	0.0	upper_right	7.58899998664856	-1.3515967724372713	-1.1806731768762138	-0.06964053791893055	-0.17092359556105752	0.9870013747162159	False
9	947.9993600845337	True	False	False	False	0.0	upper_right	3.3733739852905273	-2.914452546115466	-2.792676164063222	-0.04961616167798227	-0.12177638205224417	-0.9090587074069403	False
10	964.1963810920715	True	False	False	False	0.0	upper_right	4.856858015060425	-1.3486097829313959	-1.2575257902104395	-0.03711095725590123	-0.09108399272095635	-0.8906637115258591	False
11	981.9115850925446	True	False	False	False	0.0	upper_right	4.4094390869140625	-4.570269009761751	-4.422919963963642	-0.06003540223652658	-0.14734904579810948	-1.0184763529949314	False
12	998.6588611602783	True	False	False	False	0.0	upper_right	4.492958068847656	-1.217996063305236	-1.2858317491989	0.027638744903694872	0.06783568589366418	-0.9268649271096253	False
13	1014.8726119995117	True	False	False	False	0.0	upper_right	3.3911759853363037	-2.331303991939775	-2.453197471689423	0.049663871572040524	0.12189347974964804	-0.8213887190255236	False
